"match_type","match_id","team_id","inning","bowler","bowler_name","total_score","balls_bowled","runs_given","expected_runs_given","wickets","smart_wickets","dot_balls","smart_dot_balls_per_over"
"ODI","1144483",2,1,987,"D Pretorius","23.333","42","42","42.510","0","0.00","17","2.96"
"ODI","1144483",2,1,2619,"JP Duminy","11.250","12","14","9.708","0","0.00","3","1.88"
"ODI","1144483",2,1,6023,"AK Markram","19.167","18","16","14.562","0","0.00","10","4.17"
"ODI","1144483",2,1,9842,"AL Phehlukwayo","49.167","77","44","82.535","30","41.60","52","5.12"
"ODI","1144483",2,1,9930,"Imran Tahir","78.333","211","61","228.966","153","224.72","171","5.62"
"ODI","1144483",2,1,13198,"K Rabada","61.667","122","66","150.848","64","58.16","86","5.68"
"ODI","1144483",2,1,14259,"L Ngidi","94.583","310","66","361.014","253","267.68","278","7.92"
"ODI","1144483",5,2,2052,"AU Rashid","29.000","57","35","50.961","10","9.60","36","4.74"
"ODI","1144483",5,2,4336,"CR Woakes","20.417","30","24","34.200","0","0.00","20","4.00"
"ODI","1144483",5,2,4852,"JC Archer","97.083","254","27","279.115","215","351.48","241","5.88"
"ODI","1144483",5,2,8865,"LE Plunkett","73.500","196","37","172.228","156","218.40","174","6.66"
"ODI","1144483",5,2,10779,"MM Ali","60.333","145","63","123.365","86","113.60","113","5.84"
"ODI","1144483",5,2,12885,"BA Stokes","54.667","64","12","69.888","49","30.60","58","6.80"
"ODI","1144484",6,2,2341,"Hasan Ali","27.143","24","39","29.278","0","0.00","11","2.94"
"ODI","1144484",6,2,10298,"Wahab Riaz","14.286","22","40","26.185","0","0.00","11","3.14"
"ODI","1144484",6,2,12934,"Mohammad Amir","97.143","223","26","246.543","190","318.24","209","6.74"
"ODI","1144484",8,1,871,"JO Holder","39.286","48","42","51.576","21","20.20","33","4.97"
"ODI","1144484",8,1,9276,"SS Cottrell","53.571","36","18","44.548","13","21.84","29","4.83"
"ODI","1144484",8,1,10809,"AD Russell","77.143","39","4","46.956","23","38.64","35","5.38"
"ODI","1144484",8,1,11398,"O Thomas","85.714","92","27","97.727","62","73.16","79","6.44"
"ODI","1144484",8,1,13041,"CR Brathwaite","25.714","24","14","26.430","0","0.00","14","4.13"
"ODI","1144485",4,2,851,"NLTC Perera","29.000","18","25","43.980","0","0.00","6","2.25"
"ODI","1144485",4,2,2660,"RAS Lakmal","53.500","24","28","66.100","0","0.00","12","3.00"
"ODI","1144485",4,2,8743,"BMAJ Mendis","19.000","7","11","16.401","0","0.00","2","2.14"
"ODI","1144485",4,2,9229,"SL Malinga","41.500","30","46","82.200","0","0.00","9","1.85"
"ODI","1144485",4,2,9897,"I Udana","36.000","18","24","43.980","0","0.00","6","2.25"
"ODI","1144485",45,1,2685,"LH Ferguson","77.000","87","22","187.467","52","42.52","76","6.55"
"ODI","1144485",45,1,8367,"JDS Neesham","47.000","27","21","57.183","10","7.60","16","4.44"
